Retail,Name,Price,Category,Img,Link,Quantity,Unit,Date of Update,Date of update,Name Cleaned,Translated Name Cleaned,Product,Best Category,Top 1,Top 2,Top 3
Coop,Kellogg's morgenmad*,25.0,,https://image-transformer-api.tjek.com/?_id=v2&h=947&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F67ab51220a8b5df9a6ee91cd3b0b44c5&w=828&s=63eeabc3d54537c0197bd9fe216f9797,,205-500,g,2025-04-27,,kelloggs morgenmad,kellogg's breakfast,kellogg's breakfast,Biscuits,Biscuits (0.48),Waffles (0.47),Wheat Flour (0.43)
Coop,365 penne,3.65,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F31fcc9d2a92553173889a285f30bb1a3&w=828&s=1150c49a188370c47609b0866947249c,,500,g,2025-04-27,,penne,penne,penne,Liver Pâté,Liver Pâté (0.36),Rye Flour (0.28),Pork Mince (0.28)
Coop,fusilli,3.65,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F31fcc9d2a92553173889a285f30bb1a3&w=828&s=1150c49a188370c47609b0866947249c,,500,g,2025-04-27,,fusilli,fusilli,fusilli,Surimi,Surimi (0.42),Frikadeller (0.33),Spaghetti (0.33)
Coop,spaghetti,3.65,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F31fcc9d2a92553173889a285f30bb1a3&w=828&s=1150c49a188370c47609b0866947249c,,500,g,2025-04-27,,spaghetti,spaghetti,spaghetti,Spaghetti,Spaghetti (0.98),Pasta (0.73),Pasta Sauce (0.66)
Coop,spaghetti,3.65,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F31fcc9d2a92553173889a285f30bb1a3&w=828&s=1150c49a188370c47609b0866947249c,,500,g,2025-04-27,,spaghetti,spaghetti,spaghetti,Spaghetti,Spaghetti (0.98),Pasta (0.73),Pasta Sauce (0.66)
Coop,Matilde kakaomælk*,3.65,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Feccedddfe5b91be8e9b3099c1ec23334&w=378&s=86d408bd51c62525496c9a1642a4d90c,,250,ml,2025-04-27,,matilde kakaomælk,Matilde cocoa milk,Matilde cocoa milk,Cocoa Milk,Cocoa Milk (0.78),Cocoa Drink (0.62),Milk (0.58)
Coop,Steff Houlberg pølser,20.0,,https://image-transformer-api.tjek.com/?_id=v2.6&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F21cc63afb7fb8cfb1b07050a17b0e9bf%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F8e5c96460350e6c1a67d9b13c18bb024%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F22dd4837180d72c9e483797a13358096&w=378&s=f3f136fbab548891a7d7632b6e9134d8,,300-400,g,2025-04-27,,steff houlberg pølser,Steff houlberg sausages,Steff houlberg sausages,Sausage,Sausage (0.66),Ham Slices (0.44),Sandwich Spread (0.41)
Coop,Philadelphia*,12.0,,https://image-transformer-api.tjek.com/?_id=v2.6&h=947&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F73b65d15fb03f5e20cd94bba0baf1578%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F05afa81d9deb8ef49b624710aa2e1e10%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F11eb18ff3a51d1472c7a6432780def38%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Ffd7abe47affcd12ce47ac5ad10fdf4d8&w=828&s=8bd57a8758d256635606dbaa9cec4eac,,200,g,2025-04-27,,philadelphia,philadelphia,philadelphia,Pizza,Pizza (0.32),Corn (0.26),Soda (0.23)
Coop,Brød*,12.0,,https://image-transformer-api.tjek.com/?_id=v2.6&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F87fcb5fa3e0186dd57fa79ee6e0529f4%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fbd7b5ed1e4c0f5943a5f7873b989f96d%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F050159fcf94d2d9411cf95816f631dc9&w=828&s=6bae2a8b4b191014b3fe546d0866d358,,350-750,g,2025-04-27,,brød,bread,bread,Bread Loaf,Bread Loaf (0.80),Sandwich Bread (0.80),Toast Bread (0.77)
Coop,Magnum is,25.0,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F5efb2048d1d2f57edbad2e073e204240&w=378&s=c5a14611694d326d1e8966d9246fe8cd,,255-300,ml,2025-04-27,,magnum is,magnum ice,magnum ice,Magnum,Magnum (0.69),Ice Cream (0.57),Cold Cuts (0.39)
